Score,Overs,RPO,Target,Lead,Inns,Result,Opposition,Ground,Start Date
437.0,181.4,2.40,0.0,176,3,won,Test v Australia,Sydney,1894-12-14
75.0,40.1,1.86,0.0,75,1,won,Test v Australia,Melbourne,1894-12-29
475.0,202.2,2.34,0.0,427,3,won,Test v Australia,Melbourne,1894-12-29
124.0,57.3,2.15,0.0,-114,2,lost,Test v Australia,Adelaide,1895-01-11
143.0,67.1,2.12,526.0,-382,4,lost,Test v Australia,Adelaide,1895-01-11
65.0,38.5,1.67,0.0,-219,2,lost,Test v Australia,Sydney,1895-02-01
72.0,29.1,2.46,0.0,-147,3,lost,Test v Australia,Sydney,1895-02-01
385.0,133.0,2.89,0.0,-29,2,won,Test v Australia,Melbourne,1895-03-01
,88.1,3.37,297.0,2,4,won,Test v Australia,Melbourne,1895-03-01
185.0,70.4x5,3.13,0.0,185,1,won,Test v South Africa,Gqeberha,1896-02-13
226.0,80.4x5,3.35,0.0,318,3,won,Test v South Africa,Gqeberha,1896-02-13
482.0,157.3x5,3.67,0.0,482,1,won,Test v South Africa,Johannesburg,1896-03-02
265.0,101.4x5,3.12,0.0,150,2,won,Test v South Africa,Cape Town,1896-03-21
292.0,107.4x5,3.25,0.0,239,2,won,Test v Australia,Lord's,1896-06-22
,47.1x5,2.82,109.0,3,4,won,Test v Australia,Lord's,1896-06-22
231.0,90.0x5,3.08,0.0,-181,2,lost,Test v Australia,Manchester,1896-07-16
305.0,90.1x5,4.05,0.0,124,3,lost,Test v Australia,Manchester,1896-07-16
145.0,81.3x5,2.13,0.0,145,1,won,Test v Australia,The Oval,1896-08-10
84.0,49.0x5,2.05,0.0,110,3,won,Test v Australia,The Oval,1896-08-10
551.0,175.0,3.14,0.0,551,1,won,Test v Australia,Sydney,1897-12-13
,28.0,3.42,95.0,2,4,won,Test v Australia,Sydney,1897-12-13
315.0,119.5,2.62,0.0,-205,2,lost,Test v Australia,Melbourne,1898-01-01
150.0,65.4,2.28,0.0,-55,3,lost,Test v Australia,Melbourne,1898-01-01
278.0,126.5,2.19,0.0,-295,2,lost,Test v Australia,Adelaide,1898-01-14
282.0,144.0,1.95,0.0,-13,3,lost,Test v Australia,Adelaide,1898-01-14
174.0,61.1,2.84,0.0,-149,2,lost,Test v Australia,Melbourne,1898-01-29
263.0,114.2,2.30,0.0,114,3,lost,Test v Australia,Melbourne,1898-01-29
335.0,129.2,2.59,0.0,335,1,lost,Test v Australia,Sydney,1898-02-26
178.0,78.1,2.27,0.0,274,3,lost,Test v Australia,Sydney,1898-02-26
145.0,77.2x5,2.24,0.0,145,1,won,Test v South Africa,Johannesburg,1899-02-14
237.0,104.0x5,2.73,0.0,131,3,won,Test v South Africa,Johannesburg,1899-02-14
92.0,48.0x5,2.30,0.0,92,1,won,Test v South Africa,Cape Town,1899-04-01
330.0,132.2x5,2.99,0.0,245,3,won,Test v South Africa,Cape Town,1899-04-01
193.0,90.4x5,2.55,0.0,-59,2,draw,Test v Australia,Nottingham,1899-06-01
,99.0x5,1.87,290.0,-134,4,draw,Test v Australia,Nottingham,1899-06-01
206.0,80.1x5,3.08,0.0,206,1,lost,Test v Australia,Lord's,1899-06-15
240.0,117.4x5,2.44,0.0,25,3,lost,Test v Australia,Lord's,1899-06-15
220.0,118.3x5,2.22,0.0,48,2,draw,Test v Australia,Leeds,1899-06-29
,7.0x5,3.25,177.0,-157,4,draw,Test v Australia,Leeds,1899-06-29
372.0,141.1x5,3.16,0.0,372,1,draw,Test v Australia,Manchester,1899-07-17
,27.0x5,4.17,171.0,-76,4,draw,Test v Australia,Manchester,1899-07-17
576.0,193.4x5,3.56,0.0,576,1,draw,Test v Australia,The Oval,1899-08-14
464.0,186.0,2.49,0.0,464,1,won,Test v Australia,Sydney,1901-12-13
61.0,15.4,3.89,0.0,-51,2,lost,Test v Australia,Melbourne,1902-01-01
175.0,79.5,2.19,405.0,-229,4,lost,Test v Australia,Melbourne,1902-01-01
388.0,170.0,2.28,0.0,388,1,lost,Test v Australia,Adelaide,1902-01-17
247.0,111.0,2.22,0.0,314,3,lost,Test v Australia,Adelaide,1902-01-17
317.0,138.2,2.29,0.0,317,1,lost,Test v Australia,Sydney,1902-02-14
99.0,48.1,2.05,0.0,117,3,lost,Test v Australia,Sydney,1902-02-14
189.0,67.3,2.80,0.0,45,2,lost,Test v Australia,Melbourne,1902-02-28
178.0,65.3,2.71,211.0,-32,4,lost,Test v Australia,Melbourne,1902-02-28
,142.0,2.64,0.0,376,1,draw,Test v Australia,Birmingham,1902-05-29
,38.0,2.68,0.0,102,1,draw,Test v Australia,Lord's,1902-06-12
145.0,61.3,2.35,0.0,-49,2,lost,Test v Australia,Sheffield,1902-07-03
195.0,60.5,3.20,339.0,-143,4,lost,Test v Australia,Sheffield,1902-07-03
262.0,114.0,2.29,0.0,-37,2,lost,Test v Australia,Manchester,1902-07-24
120.0,49.4,2.41,124.0,-3,4,lost,Test v Australia,Manchester,1902-07-24
183.0,61.0,3.00,0.0,-141,2,won,Test v Australia,The Oval,1902-08-11
,66.5,3.93,263.0,1,4,won,Test v Australia,The Oval,1902-08-11
577.0,181.2,3.18,0.0,292,2,won,Test v Australia,Sydney,1903-12-11
,95.5,2.02,194.0,1,4,won,Test v Australia,Sydney,1903-12-11
315.0,152.5,2.06,0.0,315,1,won,Test v Australia,Melbourne,1904-01-01
103.0,28.5,3.57,0.0,296,3,won,Test v Australia,Melbourne,1904-01-01
245.0,102.0,2.40,0.0,-143,2,lost,Test v Australia,Adelaide,1904-01-15
278.0,117.1,2.37,495.0,-216,4,lost,Test v Australia,Adelaide,1904-01-15
249.0,114.1,2.18,0.0,249,1,won,Test v Australia,Sydney,1904-02-26
210.0,99.3,2.11,0.0,328,3,won,Test v Australia,Sydney,1904-02-26
61.0,31.2,1.94,0.0,-186,2,lost,Test v Australia,Melbourne,1904-03-05
101.0,22.5,4.42,320.0,-218,4,lost,Test v Australia,Melbourne,1904-03-05
196.0,71.3,2.74,0.0,196,1,won,Test v Australia,Nottingham,1905-05-29
,153.0,2.78,0.0,401,3,won,Test v Australia,Nottingham,1905-05-29
282.0,140.0,2.01,0.0,282,1,draw,Test v Australia,Lord's,1905-06-15
,50.0,3.02,0.0,252,3,draw,Test v Australia,Lord's,1905-06-15
301.0,128.3,2.34,0.0,301,1,draw,Test v Australia,Leeds,1905-07-03
,104.0,2.83,0.0,401,3,draw,Test v Australia,Leeds,1905-07-03
446.0,157.5,2.82,0.0,446,1,won,Test v Australia,Manchester,1905-07-24
430.0,130.0,3.30,0.0,430,1,draw,Test v Australia,The Oval,1905-08-14
,80.3,3.24,0.0,328,3,draw,Test v Australia,The Oval,1905-08-14
184.0,63.0,2.92,0.0,184,1,lost,Test v South Africa,Johannesburg,1906-01-02
190.0,58.5,3.22,0.0,283,3,lost,Test v South Africa,Johannesburg,1906-01-02
148.0,66.2,2.23,0.0,148,1,lost,Test v South Africa,Johannesburg,1906-03-06
160.0,70.5,2.25,0.0,31,3,lost,Test v South Africa,Johannesburg,1906-03-06
295.0,101.2,2.91,0.0,-90,2,lost,Test v South Africa,Johannesburg,1906-03-10
196.0,78.4,2.49,440.0,-243,4,lost,Test v South Africa,Johannesburg,1906-03-10
198.0,89.5,2.20,0.0,-20,2,won,Test v South Africa,Cape Town,1906-03-24
,59.1,2.70,159.0,2,4,won,Test v South Africa,Cape Town,1906-03-24
187.0,65.2,2.86,0.0,187,1,lost,Test v South Africa,Cape Town,1906-03-30
130.0,49.2,2.63,0.0,-16,3,lost,Test v South Africa,Cape Town,1906-03-30
428.0,127.2,3.36,0.0,428,1,draw,Test v South Africa,Lord's,1907-07-01
76.0,36.3,2.08,0.0,76,1,won,Test v South Africa,Leeds,1907-07-29
162.0,49.4,3.26,0.0,128,3,won,Test v South Africa,Leeds,1907-07-29
295.0,112.0,2.63,0.0,295,1,draw,Test v South Africa,The Oval,1907-08-19
138.0,54.3,2.53,0.0,255,3,draw,Test v South Africa,The Oval,1907-08-19
273.0,76.5,3.55,0.0,273,1,lost,Test v Australia,Sydney,1907-12-13
300.0,109.0,2.75,0.0,273,3,lost,Test v Australia,Sydney,1907-12-13
382.0,135.2,2.82,0.0,116,2,won,Test v Australia,Melbourne,1908-01-01
,121.4,2.31,282.0,1,4,won,Test v Australia,Melbourne,1908-01-01
363.0,132.0,2.75,0.0,78,2,lost,Test v Australia,Adelaide,1908-01-10
183.0,63.4,2.87,429.0,-245,4,lost,Test v Australia,Adelaide,1908-01-10
105.0,34.2,3.05,0.0,-109,2,lost,Test v Australia,Melbourne,1908-02-07
186.0,68.1,2.72,495.0,-308,4,lost,Test v Australia,Melbourne,1908-02-07
281.0,96.1,2.92,0.0,144,2,lost,Test v Australia,Sydney,1908-02-21
229.0,105.1,2.17,279.0,-49,4,lost,Test v Australia,Sydney,1908-02-21
121.0,55.3,2.18,0.0,47,2,won,Test v Australia,Birmingham,1909-05-27
,32.2,3.24,105.0,1,4,won,Test v Australia,Birmingham,1909-05-27
269.0,107.2,2.50,0.0,269,1,lost,Test v Australia,Lord's,1909-06-14
121.0,60.5,1.98,0.0,40,3,lost,Test v Australia,Lord's,1909-06-14
182.0,84.3,2.15,0.0,-6,2,lost,Test v Australia,Leeds,1909-07-01
87.0,37.5,2.29,214.0,-126,4,lost,Test v Australia,Leeds,1909-07-01
119.0,52.2,2.27,0.0,-28,2,draw,Test v Australia,Manchester,1909-07-26
,55.0,1.96,308.0,-199,4,draw,Test v Australia,Manchester,1909-07-26
352.0,106.4,3.30,0.0,27,2,draw,Test v Australia,The Oval,1909-08-09
,33.0,3.15,313.0,-208,4,draw,Test v Australia,The Oval,1909-08-09
310.0,90.1,3.43,0.0,102,2,lost,Test v South Africa,Johannesburg,1910-01-01
224.0,53.2,4.20,244.0,-19,4,lost,Test v South Africa,Johannesburg,1910-01-01
199.0,75.1,2.64,0.0,0,2,lost,Test v South Africa,Durban,1910-01-21
252.0,82.4,3.04,348.0,-95,4,lost,Test v South Africa,Durban,1910-01-21
322.0,82.4,3.89,0.0,17,2,won,Test v South Africa,Johannesburg,1910-02-26
,58.4,3.76,221.0,1,4,won,Test v South Africa,Johannesburg,1910-02-26
203.0,53.0,3.83,0.0,203,1,lost,Test v South Africa,Cape Town,1910-03-07
178.0,51.3,3.45,0.0,174,3,lost,Test v South Africa,Cape Town,1910-03-07
417.0,108.2,3.84,0.0,417,1,won,Test v South Africa,Cape Town,1910-03-11
,4.1,3.84,14.0,3,4,won,Test v South Africa,Cape Town,1910-03-11
318.0,101.5,3.12,0.0,-129,2,lost,Test v Australia,Sydney,1911-12-15
291.0,123.2,2.35,438.0,-146,4,lost,Test v Australia,Sydney,1911-12-15
265.0,98.1,2.69,0.0,81,2,won,Test v Australia,Melbourne,1911-12-30
,67.1,3.26,219.0,1,4,won,Test v Australia,Melbourne,1911-12-30
501.0,177.1,2.82,0.0,368,2,won,Test v Australia,Adelaide,1912-01-12
,42.2,2.64,109.0,4,4,won,Test v Australia,Adelaide,1912-01-12
589.0,190.5,3.08,0.0,398,2,won,Test v Australia,Melbourne,1912-02-09
324.0,129.0,2.51,0.0,324,1,won,Test v Australia,Sydney,1912-02-23
214.0,70.3,3.03,0.0,362,3,won,Test v Australia,Sydney,1912-02-23
337.0,119.0,2.83,0.0,279,2,won,Test v South Africa,Lord's,1912-06-10
,90.0,3.44,0.0,310,1,draw,Test v Australia,Lord's,1912-06-24
242.0,78.1,3.09,0.0,242,1,won,Test v South Africa,Leeds,1912-07-08
238.0,90.2,2.63,0.0,333,3,won,Test v South Africa,Leeds,1912-07-08
203.0,92.5,2.18,0.0,203,1,draw,Test v Australia,Manchester,1912-07-29
176.0,56.1,3.13,0.0,81,2,won,Test v South Africa,The Oval,1912-08-12
,4.3,3.11,13.0,2,4,won,Test v South Africa,The Oval,1912-08-12
245.0,114.1,2.14,0.0,245,1,won,Test v Australia,The Oval,1912-08-19
175.0,86.4,2.01,0.0,309,3,won,Test v Australia,The Oval,1912-08-19
450.0,144.4,3.11,0.0,268,2,won,Test v South Africa,Durban,1913-12-13
403.0,135.0,2.98,0.0,243,2,won,Test v South Africa,Johannesburg,1913-12-26
238.0,80.1,2.96,0.0,238,1,won,Test v South Africa,Johannesburg,1914-01-01
308.0,93.3,3.29,0.0,395,3,won,Test v South Africa,Johannesburg,1914-01-01
163.0,75.0,2.17,0.0,-7,2,draw,Test v South Africa,Durban,1914-02-14
,80.0,1.92,313.0,-158,4,draw,Test v South Africa,Durban,1914-02-14
411.0,144.3,2.84,0.0,218,2,won,Test v South Africa,Gqeberha,1914-02-27
,2.1,5.07,11.0,1,4,won,Test v South Africa,Gqeberha,1914-02-27
190.0,59.1,3.21,0.0,-77,2,lost,Test v Australia,Sydney,1920-12-17
281.0,102.5,2.73,659.0,-377,4,lost,Test v Australia,Sydney,1920-12-17
251.0,87.3,2.86,0.0,-248,2,lost,Test v Australia,Melbourne,1920-12-31
157.0,67.2,2.33,0.0,-91,3,lost,Test v Australia,Melbourne,1920-12-31
447.0,132.1,3.38,0.0,93,2,lost,Test v Australia,Adelaide,1921-01-14
370.0,106.2,3.47,490.0,-119,4,lost,Test v Australia,Adelaide,1921-01-14
284.0,99.2,2.85,0.0,284,1,lost,Test v Australia,Melbourne,1921-02-11
315.0,117.0,2.69,0.0,210,3,lost,Test v Australia,Melbourne,1921-02-11
204.0,70.1,2.90,0.0,204,1,lost,Test v Australia,Sydney,1921-02-25
280.0,101.2,2.76,0.0,92,3,lost,Test v Australia,Sydney,1921-02-25
112.0,37.0,3.02,0.0,112,1,lost,Test v Australia,Nottingham,1921-05-28
147.0,85.4,1.71,0.0,27,3,lost,Test v Australia,Nottingham,1921-05-28
187.0,68.2,2.73,0.0,187,1,lost,Test v Australia,Lord's,1921-06-11
283.0,90.2,3.13,0.0,128,3,lost,Test v Australia,Lord's,1921-06-11
259.0,93.1,2.77,0.0,-148,2,lost,Test v Australia,Leeds,1921-07-02
202.0,52.2,3.85,422.0,-219,4,lost,Test v Australia,Leeds,1921-07-02
,120.0,3.01,0.0,362,1,draw,Test v Australia,Manchester,1921-07-23
,13.0,3.38,0.0,231,3,draw,Test v Australia,Manchester,1921-07-23
,127.0,3.17,0.0,403,1,draw,Test v Australia,The Oval,1921-08-13
,58.0,4.20,0.0,258,3,draw,Test v Australia,The Oval,1921-08-13
182.0,56.5,3.20,0.0,34,2,lost,Test v South Africa,Johannesburg,1922-12-23
218.0,100.0,2.18,387.0,-168,4,lost,Test v South Africa,Johannesburg,1922-12-23
183.0,68.1,2.68,0.0,70,2,won,Test v South Africa,Cape Town,1923-01-01
,88.3,1.95,173.0,1,4,won,Test v South Africa,Cape Town,1923-01-01
428.0,185.5,2.30,0.0,428,1,draw,Test v South Africa,Durban,1923-01-18
,4.0,2.75,0.0,71,3,draw,Test v South Africa,Durban,1923-01-18
244.0,103.4,2.35,0.0,244,1,draw,Test v South Africa,Johannesburg,1923-02-09
,134.0,2.80,0.0,325,3,draw,Test v South Africa,Johannesburg,1923-02-09
281.0,126.5,2.21,0.0,281,1,won,Test v South Africa,Durban,1923-02-16
241.0,130.4,1.84,0.0,343,3,won,Test v South Africa,Durban,1923-02-16
438.0,124.0,3.53,0.0,438,1,won,Test v South Africa,Birmingham,1924-06-14
,118.0,4.50,0.0,258,2,won,Test v South Africa,Lord's,1924-06-28
396.0,116.0,3.41,0.0,396,1,won,Test v South Africa,Leeds,1924-07-12
,22.2,2.68,60.0,1,4,won,Test v South Africa,Leeds,1924-07-12
,0.0,-,0.0,0,0,draw,Test v South Africa,Manchester,1924-07-26
,131.0,3.21,0.0,79,2,draw,Test v South Africa,The Oval,1924-08-16
298.0,79.7x8,2.79,0.0,-152,2,lost,Test v Australia,Sydney,1924-12-19
411.0,96.7x8,3.18,605.0,-193,4,lost,Test v Australia,Sydney,1924-12-19
479.0,138.0x8,2.60,0.0,-121,2,lost,Test v Australia,Melbourne,1925-01-01
290.0,106.3x8,2.04,372.0,-81,4,lost,Test v Australia,Melbourne,1925-01-01
365.0,117.2x8,2.33,0.0,-124,2,lost,Test v Australia,Adelaide,1925-01-16
363.0,111.2x8,2.44,375.0,-11,4,lost,Test v Australia,Adelaide,1925-01-16
548.0,151.6x8,2.70,0.0,548,1,won,Test v Australia,Melbourne,1925-02-13
167.0,47.7x8,2.61,0.0,-128,2,lost,Test v Australia,Sydney,1925-02-27
146.0,44.4x8,2.46,454.0,-307,4,lost,Test v Australia,Sydney,1925-02-27
,17.2,1.84,0.0,32,1,draw,Test v Australia,Nottingham,1926-06-12
,168.0,2.82,0.0,92,2,draw,Test v Australia,Lord's,1926-06-26
294.0,128.0,2.29,0.0,-200,2,draw,Test v Australia,Leeds,1926-07-10
,86.0,2.95,0.0,54,3,draw,Test v Australia,Leeds,1926-07-10
,125.0,2.44,0.0,-30,2,draw,Test v Australia,Manchester,1926-07-24
280.0,95.5,2.92,0.0,280,1,won,Test v Australia,The Oval,1926-08-14
436.0,182.5,2.38,0.0,414,3,won,Test v Australia,The Oval,1926-08-14
313.0,137.3,2.27,0.0,117,2,won,Test v South Africa,Johannesburg,1927-12-24
,21.0,2.71,54.0,4,4,won,Test v South Africa,Johannesburg,1927-12-24
133.0,59.1,2.24,0.0,133,1,won,Test v South Africa,Cape Town,1927-12-31
428.0,158.5,2.69,0.0,311,3,won,Test v South Africa,Cape Town,1927-12-31
430.0,139.3,3.08,0.0,184,2,draw,Test v South Africa,Durban,1928-01-21
,42.2,3.11,281.0,-148,4,draw,Test v South Africa,Durban,1928-01-21
265.0,125.4,2.10,0.0,265,1,lost,Test v South Africa,Johannesburg,1928-01-28
215.0,72.0,2.98,0.0,152,3,lost,Test v South Africa,Johannesburg,1928-01-28
282.0,102.5,2.74,0.0,282,1,lost,Test v South Africa,Durban,1928-02-04
118.0,55.0,2.14,0.0,68,3,lost,Test v South Africa,Durban,1928-02-04
401.0,125.4,3.19,0.0,401,1,won,Test v West Indies,Lord's,1928-06-23
351.0,107.2,3.27,0.0,145,2,won,Test v West Indies,Manchester,1928-07-21
438.0,103.5,4.21,0.0,200,2,won,Test v West Indies,The Oval,1928-08-11
521.0,175.3,2.96,0.0,521,1,won,Test v Australia,Brisbane,1928-11-30
,135.1,2.53,0.0,741,3,won,Test v Australia,Brisbane,1928-11-30
636.0,272.1,2.33,0.0,383,2,won,Test v Australia,Sydney,1928-12-14
,7.0,2.28,15.0,2,4,won,Test v Australia,Sydney,1928-12-14
417.0,195.0,2.13,0.0,20,2,won,Test v Australia,Melbourne,1928-12-29
,159.5,2.07,332.0,1,4,won,Test v Australia,Melbourne,1928-12-29
334.0,183.1,1.82,0.0,334,1,won,Test v Australia,Adelaide,1929-02-01
383.0,200.4,1.90,0.0,348,3,won,Test v Australia,Adelaide,1929-02-01
519.0,215.1,2.41,0.0,519,1,lost,Test v Australia,Melbourne,1929-03-08
257.0,86.3,2.97,0.0,285,3,lost,Test v Australia,Melbourne,1929-03-08
245.0,81.1,3.01,0.0,245,1,draw,Test v South Africa,Birmingham,1929-06-15
,100.0,3.08,0.0,303,3,draw,Test v South Africa,Birmingham,1929-06-15
302.0,99.4,3.03,0.0,302,1,draw,Test v South Africa,Lord's,1929-06-29
,82.2,3.78,0.0,292,3,draw,Test v South Africa,Lord's,1929-06-29
328.0,107.5,3.04,0.0,92,2,won,Test v South Africa,Leeds,1929-07-13
,52.4,3.53,184.0,3,4,won,Test v South Africa,Leeds,1929-07-13
,128.0,3.33,0.0,427,1,won,Test v South Africa,Manchester,1929-07-27
258.0,101.3,2.54,0.0,258,1,draw,Test v South Africa,The Oval,1929-08-17
,80.0,3.30,0.0,30,3,draw,Test v South Africa,The Oval,1929-08-17
181.0,63.1,2.86,0.0,69,2,won,Test v New Zealand,Christchurch,1930-01-10
,18.5,3.50,63.0,4,4,won,Test v New Zealand,Christchurch,1930-01-10
467.0,153.0,3.05,0.0,98,2,draw,Test v West Indies,Bridgetown,1930-01-11
,65.0,2.56,287.0,-119,4,draw,Test v West Indies,Bridgetown,1930-01-11
320.0,107.5,2.96,0.0,-120,2,draw,Test v New Zealand,Wellington,1930-01-24
,39.0,2.74,285.0,-177,4,draw,Test v New Zealand,Wellington,1930-01-24
208.0,72.1,2.88,0.0,208,1,won,Test v West Indies,Port of Spain,1930-02-01
,125.0,3.40,0.0,379,3,won,Test v West Indies,Port of Spain,1930-02-01
,88.0,3.75,0.0,330,1,draw,Test v New Zealand,Auckland,1930-02-14
540.0,171.4,3.14,0.0,540,1,draw,Test v New Zealand,Auckland,1930-02-21
,12.3,1.76,0.0,175,3,draw,Test v New Zealand,Auckland,1930-02-21
145.0,61.3,2.35,0.0,-326,2,lost,Test v West Indies,Georgetown,1930-02-21
327.0,158.5,2.05,617.0,-289,4,lost,Test v West Indies,Georgetown,1930-02-21
849.0,258.2,3.28,0.0,849,1,draw,Test v West Indies,Kingston,1930-04-03
,79.1,3.43,0.0,835,3,draw,Test v West Indies,Kingston,1930-04-03
270.0,89.4,3.01,0.0,270,1,won,Test v Australia,Nottingham,1930-06-13
302.0,96.0,3.14,0.0,428,3,won,Test v Australia,Nottingham,1930-06-13
425.0,128.4,3.30,0.0,425,1,lost,Test v Australia,Lord's,1930-06-27
375.0,116.4,3.21,0.0,71,3,lost,Test v Australia,Lord's,1930-06-27
391.0,175.2,2.23,0.0,-175,2,draw,Test v Australia,Leeds,1930-07-11
